MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwnerFlag,NumberCarsOwned,Age,BikeBuyer
S,M,34819,0,0,High School,Manual,0,1,29,1
S,F,135930,1,1,Graduate Degree,Professional,1,3,67,1
M,F,54662,2,1,Bachelors,Skilled Manual,1,1,65,1
S,F,53264,0,0,Partial College,Skilled Manual,0,1,43,1
M,F,105474,2,0,Partial College,Management,1,3,45,1
M,M,109406,0,0,Partial College,Management,1,1,31,1
S,M,53072,0,0,Partial College,Skilled Manual,0,0,46,1
M,F,106349,2,1,Graduate Degree,Management,1,3,67,1
M,M,81141,2,0,Graduate Degree,Clerical,1,1,62,1
M,M,61460,2,1,Graduate Degree,Skilled Manual,0,1,36,1
M,M,85123,2,2,Partial College,Clerical,1,2,48,1
M,M,110081,2,1,Graduate Degree,Management,1,2,35,1
M,M,85091,2,1,Bachelors,Clerical,1,1,35,1
M,M,54195,2,2,Graduate Degree,Skilled Manual,1,0,40,1
M,M,81664,2,0,High School,Clerical,1,1,45,1
S,F,138206,0,0,Bachelors,Professional,1,1,39,1
M,F,61599,2,1,Bachelors,Skilled Manual,1,2,39,1
M,F,108872,2,1,Bachelors,Management,1,2,61,1
M,F,109238,0,0,Graduate Degree,Management,1,2,43,1
M,M,78881,2,2,Bachelors,Clerical,1,0,40,1
S,M,33641,1,1,Partial College,Manual,1,1,64,1
M,F,109372,2,1,Partial College,Management,1,3,59,1
S,F,53682,0,0,Partial College,Skilled Manual,1,1,55,1
S,F,101783,0,0,Bachelors,Management,1,1,38,1
M,M,104092,2,1,Bachelors,Management,1,1,44,1
M,M,62501,1,1,Bachelors,Skilled Manual,1,1,39,1
M,F,81446,2,0,Partial College,Clerical,1,1,42,1
S,F,104918,0,0,Bachelors,Management,1,3,37,1
S,F,59621,0,0,Partial High School,Skilled Manual,0,0,32,1
M,F,131353,0,0,Graduate Degree,Professional,1,3,32,1
S,M,55882,0,0,Graduate Degree,Skilled Manual,0,2,35,1
M,F,85192,2,0,High School,Clerical,1,2,59,1
S,M,113511,0,0,Bachelors,Management,1,3,37,1
M,F,52503,1,0,Partial College,Skilled Manual,1,1,43,1
S,M,77260,1,0,Graduate Degree,Clerical,1,1,73,1
S,F,76609,0,0,Partial College,Clerical,0,1,26,1
M,F,103002,0,0,Bachelors,Management,0,1,26,1
M,M,78037,1,1,High School,Clerical,1,0,47,1
M,M,133061,2,0,Graduate Degree,Professional,1,2,46,1
S,F,104779,0,0,Partial College,Management,1,1,42,1
M,F,78315,1,0,Graduate Degree,Clerical,1,2,39,1
S,F,28930,0,0,Partial High School,Manual,1,0,55,1
M,M,110089,1,1,Graduate Degree,Management,1,1,43,1
M,F,59088,2,0,Bachelors,Skilled Manual,1,2,55,1
S,M,58662,0,0,Partial College,Skilled Manual,0,1,33,1
M,F,59469,0,0,High School,Skilled Manual,0,2,32,1
M,F,78992,1,0,Bachelors,Clerical,1,2,33,1
S,F,59378,0,0,High School,Skilled Manual,0,1,37,1
S,F,84470,0,0,Bachelors,Clerical,0,2,37,1
S,F,61167,0,0,Partial College,Skilled Manual,0,1,29,1
S,M,81568,0,0,High School,Clerical,0,3,26,1
M,F,34018,1,0,Partial High School,Manual,1,1,56,1
S,F,54812,0,0,Bachelors,Skilled Manual,0,1,38,1
M,M,54780,2,1,Partial High School,Skilled Manual,1,2,50,1
S,F,79548,0,0,Bachelors,Clerical,1,1,45,1
M,F,82498,2,2,High School,Clerical,1,1,53,1
M,M,109293,2,1,Bachelors,Management,1,2,62,1
S,F,85223,0,0,Bachelors,Clerical,0,1,38,1
M,M,36652,2,0,Bachelors,Manual,0,1,41,1
S,F,32647,0,0,Bachelors,Manual,0,0,38,1
M,M,57110,2,1,Partial College,Skilled Manual,1,2,55,1
M,M,132279,2,0,Graduate Degree,Professional,1,2,63,1
M,M,112797,1,0,Graduate Degree,Management,1,1,46,1
S,M,28342,0,0,High School,Manual,0,0,29,1
M,F,33684,0,0,Bachelors,Manual,0,1,32,1
M,F,127823,0,0,Bachelors,Professional,1,3,32,1
M,M,133312,0,0,Graduate Degree,Professional,1,2,34,1
S,M,56485,0,0,Partial College,Skilled Manual,1,2,49,1
M,F,59169,1,1,Partial College,Skilled Manual,1,0,52,1
M,M,52581,2,1,Partial College,Skilled Manual,1,0,53,1
S,M,56086,0,0,Partial High School,Skilled Manual,0,1,28,1
M,F,50892,0,0,Partial College,Skilled Manual,0,1,32,1
S,M,78650,0,0,High School,Clerical,0,2,27,1
S,M,57484,0,0,Bachelors,Skilled Manual,0,0,37,1
M,M,57379,2,1,Graduate Degree,Skilled Manual,0,1,36,1
S,F,80035,0,0,Bachelors,Clerical,0,0,39,1
M,M,61654,0,0,Partial College,Skilled Manual,0,1,30,1
M,F,53423,0,0,High School,Skilled Manual,0,1,27,1
M,F,54059,1,0,Partial College,Skilled Manual,0,2,33,1
M,M,29479,1,1,Bachelors,Manual,0,1,39,1
S,F,61460,0,0,High School,Skilled Manual,0,1,28,1
M,M,102492,2,1,Partial College,Management,1,1,50,1
M,M,32481,2,1,Bachelors,Manual,1,0,56,1
M,M,52857,2,1,Bachelors,Skilled Manual,1,1,38,1
M,M,60288,1,1,Graduate Degree,Skilled Manual,0,0,35,1
S,M,62660,0,0,Bachelors,Skilled Manual,0,1,30,1
S,M,59178,0,0,High School,Skilled Manual,0,2,29,1
S,M,51396,0,0,Partial High School,Skilled Manual,1,1,50,1
S,F,108724,1,0,Graduate Degree,Management,1,3,66,1
S,M,27126,0,0,Bachelors,Manual,0,1,37,1
M,M,86503,1,1,Partial College,Clerical,1,3,45,1
M,M,32801,2,0,Graduate Degree,Manual,1,0,68,1
M,M,105555,2,0,Bachelors,Management,1,2,63,1
M,F,79198,2,0,Partial College,Clerical,1,1,49,1
S,M,34071,0,0,Partial College,Manual,0,1,36,1
M,F,78274,2,0,Graduate Degree,Clerical,1,1,63,1
S,F,112242,0,0,Partial College,Management,1,1,44,1
S,F,29776,0,0,High School,Manual,0,0,39,1
S,M,55795,0,0,Bachelors,Skilled Manual,0,1,39,1
S,F,32754,0,0,Bachelors,Manual,0,1,47,1
M,M,32508,2,0,Partial College,Manual,1,1,47,1
S,F,86416,0,0,Partial College,Clerical,0,1,27,1
M,F,84033,1,0,Partial College,Clerical,1,1,47,1
M,F,79716,2,1,Partial College,Clerical,1,1,47,1
M,M,55512,2,1,Graduate Degree,Skilled Manual,1,2,39,1
S,F,80671,0,0,Partial College,Clerical,0,2,26,1
M,F,110780,3,0,Bachelors,Management,1,2,69,1
M,F,82550,2,0,Bachelors,Clerical,1,2,39,1
S,F,26083,0,0,Partial College,Manual,0,0,28,1
M,F,81325,3,0,High School,Clerical,1,1,77,1
M,M,60063,2,0,Partial College,Skilled Manual,1,1,52,1
S,M,134642,0,0,Graduate Degree,Professional,1,2,38,1
S,F,61845,0,0,High School,Skilled Manual,0,2,42,1
M,M,55530,2,2,Partial College,Skilled Manual,1,0,48,1
M,M,27969,1,1,Bachelors,Manual,0,1,41,1
M,F,28423,1,0,Bachelors,Manual,0,0,41,1
M,M,80585,1,0,Bachelors,Clerical,1,3,44,1
M,M,108140,2,1,Graduate Degree,Management,1,2,47,1
M,F,55559,2,0,Graduate Degree,Skilled Manual,0,2,36,1
S,F,83419,0,0,Bachelors,Clerical,0,1,41,1
M,F,52705,1,1,Partial College,Skilled Manual,1,1,49,1
M,F,32468,1,0,Partial College,Manual,1,0,44,1
M,M,57767,2,1,High School,Skilled Manual,1,1,75,1
M,F,29974,1,1,Partial High School,Manual,1,1,47,1
M,M,137154,2,1,Graduate Degree,Professional,1,3,47,1
S,M,34183,0,0,Partial College,Manual,0,0,46,1
S,M,59164,0,0,Partial High School,Skilled Manual,1,1,52,1
S,F,59792,0,0,Partial College,Skilled Manual,1,0,56,1
S,F,53005,0,0,Bachelors,Skilled Manual,0,1,37,1
S,F,51524,0,0,Graduate Degree,Skilled Manual,0,1,45,1
S,M,80402,0,0,Bachelors,Clerical,0,1,37,1
S,F,33569,0,0,Partial High School,Manual,0,1,41,1
M,M,28556,1,0,Partial College,Manual,1,0,47,1
S,M,105981,0,0,Graduate Degree,Management,1,0,39,1
S,M,80178,0,0,Graduate Degree,Clerical,1,2,46,1
S,F,60682,0,0,Bachelors,Skilled Manual,0,0,36,1
M,M,60946,0,0,Partial High School,Skilled Manual,0,1,31,1
M,M,131531,2,2,Graduate Degree,Professional,1,1,45,1
S,M,55309,0,0,Partial College,Skilled Manual,0,1,32,1
M,F,102155,2,1,Bachelors,Management,1,3,38,1
M,M,37031,1,1,Bachelors,Manual,0,1,38,1
S,M,106533,1,0,Graduate Degree,Management,1,1,73,1
M,F,58373,2,1,Partial High School,Skilled Manual,1,1,51,1
S,M,62468,0,0,Bachelors,Skilled Manual,0,1,37,1
M,F,53825,2,1,Partial College,Skilled Manual,1,1,58,1
S,M,58558,0,0,High School,Skilled Manual,1,1,56,1
S,F,56973,0,0,High School,Skilled Manual,1,1,53,1
S,M,36110,0,0,Bachelors,Manual,0,0,40,1
M,M,80258,0,0,Partial College,Clerical,0,2,29,1
M,M,105927,2,1,Bachelors,Management,1,2,38,1
S,F,30961,0,0,Graduate Degree,Manual,0,0,46,1
S,M,61708,0,0,Partial High School,Skilled Manual,0,1,38,1
M,M,54641,2,0,High School,Skilled Manual,1,1,53,1
M,F,131916,0,0,Bachelors,Professional,1,2,39,1
M,M,80122,2,0,Graduate Degree,Clerical,1,3,37,1
S,F,137031,0,0,Bachelors,Professional,0,1,32,1
S,M,106983,0,0,Partial College,Management,0,3,30,1
S,F,103806,0,0,Partial College,Management,1,1,41,1
M,F,55249,2,0,High School,Skilled Manual,1,0,57,1
M,M,78709,1,0,Partial College,Clerical,1,2,43,1
M,F,59789,2,1,High School,Skilled Manual,1,2,58,1
S,F,56556,0,0,High School,Skilled Manual,0,1,30,1
M,M,52684,1,1,Bachelors,Skilled Manual,1,1,39,1
M,M,105724,0,0,Bachelors,Management,1,2,37,1
M,M,57474,2,0,Bachelors,Skilled Manual,0,2,33,1
M,F,86400,2,0,High School,Clerical,1,2,52,1
M,F,51935,1,0,Bachelors,Skilled Manual,0,0,37,1
S,F,55785,0,0,Graduate Degree,Skilled Manual,0,2,32,1
S,F,28346,0,0,Bachelors,Manual,0,1,42,1
M,M,59370,2,0,Partial College,Skilled Manual,1,0,38,1
S,M,52677,0,0,High School,Skilled Manual,0,1,32,1
S,M,135547,0,0,Bachelors,Professional,1,3,41,1
M,M,35344,1,0,Graduate Degree,Manual,1,1,47,1
M,F,82465,2,0,High School,Clerical,1,2,49,1
S,F,56469,0,0,Partial High School,Skilled Manual,1,2,50,1
M,M,31965,2,0,Partial High School,Manual,0,1,34,1
M,M,56375,2,1,High School,Skilled Manual,1,1,51,1
M,M,137939,0,0,Bachelors,Professional,1,2,37,1
M,M,128167,2,0,Graduate Degree,Professional,1,0,36,1
S,F,31716,0,0,High School,Manual,0,1,29,1
M,F,103168,1,0,Partial College,Management,1,1,49,1
S,F,28084,0,0,Graduate Degree,Manual,0,0,39,1
S,F,84511,0,0,High School,Clerical,0,3,27,1
S,F,131324,0,0,Bachelors,Professional,1,2,33,1
M,F,104597,0,0,Bachelors,Management,1,2,37,1
S,M,51849,0,0,Partial College,Skilled Manual,1,1,49,1
S,M,81039,1,0,Bachelors,Clerical,1,2,66,1
M,F,84746,2,0,Bachelors,Clerical,1,3,57,1
S,F,106712,0,0,Bachelors,Management,1,1,47,1
M,F,81112,2,2,Graduate Degree,Clerical,1,1,44,1
S,F,77142,0,0,Partial College,Clerical,1,3,45,1
M,F,109017,0,0,Bachelors,Management,1,2,43,1
S,F,109635,0,0,Graduate Degree,Management,1,2,39,1
M,M,86168,2,1,Partial College,Clerical,1,1,53,1
M,M,31075,1,0,Bachelors,Manual,0,1,36,1
S,M,62617,0,0,Bachelors,Skilled Manual,0,0,39,1
M,M,58164,2,0,Partial High School,Skilled Manual,1,1,48,1
S,F,134176,0,0,Bachelors,Professional,1,2,39,1
S,F,52617,0,0,Partial College,Skilled Manual,0,2,41,1
M,F,82011,3,0,Partial College,Clerical,1,2,68,1
M,M,30719,2,0,High School,Manual,0,1,36,1
M,F,52627,1,1,Bachelors,Skilled Manual,1,2,38,1
S,M,53555,0,0,High School,Skilled Manual,0,0,31,1
S,M,108093,0,0,Bachelors,Management,1,1,40,1
M,F,58491,2,0,Partial High School,Skilled Manual,0,0,33,1
S,F,76608,1,0,Bachelors,Clerical,1,1,69,1
M,F,31502,1,0,Graduate Degree,Manual,0,1,36,1
S,M,86967,0,0,Graduate Degree,Clerical,0,3,31,1
S,F,106833,0,0,Partial College,Management,0,3,26,1
S,M,57874,0,0,High School,Skilled Manual,0,2,33,1
S,M,77369,0,0,Graduate Degree,Clerical,1,3,43,1
S,M,62163,1,1,High School,Skilled Manual,1,2,59,1
M,F,86848,2,1,Partial College,Clerical,1,1,42,1
M,F,59429,2,0,Bachelors,Skilled Manual,1,0,59,1
S,F,105827,0,0,Bachelors,Management,1,3,40,1
M,M,134682,0,0,Graduate Degree,Professional,1,3,35,1
M,F,85115,2,0,High School,Clerical,1,1,53,1
S,F,32731,0,0,Bachelors,Manual,0,1,34,1
S,M,85736,0,0,High School,Clerical,0,1,29,1
M,M,77845,1,0,Bachelors,Clerical,1,1,40,1
S,M,34799,0,0,Partial College,Manual,0,1,26,1
M,F,52295,2,1,Graduate Degree,Skilled Manual,1,2,70,1
M,F,76532,2,2,High School,Clerical,1,3,50,1
S,F,26034,0,0,High School,Manual,0,0,24,1
M,M,33891,2,0,Bachelors,Manual,1,0,46,1
M,M,80718,2,1,High School,Clerical,1,1,59,1
M,F,86030,2,1,Partial College,Clerical,1,2,58,1
S,M,111229,0,0,Bachelors,Management,0,2,34,1
S,M,58838,0,0,Bachelors,Skilled Manual,0,1,29,1
M,F,104334,1,0,Partial College,Management,1,3,37,1
M,F,34652,2,1,Partial High School,Manual,1,1,52,1
S,F,36581,0,0,Bachelors,Manual,0,0,36,1
M,F,57582,2,1,Partial College,Skilled Manual,1,1,48,1
M,M,137101,0,0,Graduate Degree,Professional,1,2,35,1
S,F,79923,0,0,Graduate Degree,Clerical,0,0,38,1
S,F,138273,0,0,Graduate Degree,Professional,1,3,46,1
M,M,54668,2,1,Partial College,Skilled Manual,1,1,48,1
M,F,27018,2,0,Graduate Degree,Manual,1,0,44,1
M,F,35977,1,0,High School,Manual,1,1,47,1
S,M,131661,1,0,Bachelors,Professional,1,2,60,1
M,F,55341,2,0,Partial College,Skilled Manual,1,2,50,1
S,F,76984,0,0,Partial College,Clerical,1,2,45,1
M,F,55529,2,2,Graduate Degree,Skilled Manual,1,2,44,1
S,F,54938,0,0,Partial College,Skilled Manual,0,0,28,1
S,F,60321,0,0,Partial College,Skilled Manual,0,2,32,1
S,F,78742,1,1,Bachelors,Clerical,1,0,57,1
M,M,55221,1,0,Bachelors,Skilled Manual,1,2,42,1
S,F,33686,0,0,Partial High School,Manual,0,1,30,1
S,F,109164,1,1,Bachelors,Management,1,2,62,1
S,F,52063,0,0,High School,Skilled Manual,0,1,36,1
S,M,32497,0,0,Partial High School,Manual,0,0,40,1
S,F,56978,0,0,Bachelors,Skilled Manual,0,2,37,1
S,F,110148,0,0,Bachelors,Management,0,3,36,1
M,M,36961,1,1,Graduate Degree,Manual,0,1,35,1
S,F,130810,0,0,Graduate Degree,Professional,1,2,35,1
M,F,32751,1,1,Partial College,Manual,1,1,53,1
M,M,35217,1,0,Partial College,Manual,1,0,44,1
S,M,86595,0,0,Partial College,Clerical,0,2,41,1
M,F,34851,1,0,Partial High School,Manual,0,1,33,1
S,M,112316,0,0,Graduate Degree,Management,0,2,34,1
M,F,58549,1,0,High School,Skilled Manual,1,2,53,1
M,M,86944,1,0,Bachelors,Clerical,1,3,38,1
S,M,80352,0,0,Bachelors,Clerical,0,3,38,1
M,M,128005,0,0,Graduate Degree,Professional,1,2,34,1
M,M,55282,0,0,Bachelors,Skilled Manual,0,1,32,1
M,M,32468,1,1,Bachelors,Manual,0,0,38,1
M,F,77797,3,0,Graduate Degree,Clerical,1,1,68,1
S,F,53295,1,1,Partial College,Skilled Manual,1,0,58,1
S,F,78559,0,0,High School,Clerical,0,1,25,1
S,F,31538,0,0,Graduate Degree,Manual,0,0,33,1
S,M,78477,0,0,Partial College,Clerical,1,0,53,1
M,F,127821,1,0,Graduate Degree,Professional,1,3,33,1
M,M,56962,2,2,Bachelors,Skilled Manual,1,1,65,1
S,F,103822,0,0,Graduate Degree,Management,0,3,36,1
S,M,58039,0,0,Partial College,Skilled Manual,1,1,56,1
S,F,81730,0,0,Bachelors,Clerical,1,3,45,1
S,M,36656,0,0,Graduate Degree,Manual,0,0,38,1
M,F,102694,3,0,Graduate Degree,Management,1,0,74,1
M,M,57018,0,0,Partial College,Skilled Manual,0,1,27,1
S,F,79340,0,0,Bachelors,Clerical,0,1,41,1
M,F,87308,2,0,Partial College,Clerical,1,3,46,1
M,M,57102,2,0,Partial High School,Skilled Manual,1,1,56,1
M,F,84223,2,0,High School,Clerical,1,1,56,1
S,M,29280,0,0,Partial College,Manual,0,0,37,1
S,M,134104,1,1,Graduate Degree,Professional,1,2,70,1
S,M,28429,0,0,Partial High School,Manual,0,0,50,1
M,M,136828,2,2,Graduate Degree,Professional,1,3,70,1
M,M,53300,2,0,Partial College,Skilled Manual,1,2,42,1
S,M,56695,0,0,High School,Skilled Manual,0,2,32,1
S,F,82743,0,0,Bachelors,Clerical,0,2,41,1
M,F,59314,1,1,Bachelors,Skilled Manual,0,2,35,1
S,F,128358,1,0,Graduate Degree,Professional,1,2,66,1
S,F,57610,0,0,High School,Skilled Manual,0,1,28,1
S,F,82560,0,0,High School,Clerical,0,1,26,1
M,M,36508,2,1,Partial High School,Manual,1,1,48,1
M,M,82684,2,2,Partial College,Clerical,1,0,58,1
M,M,59800,2,0,High School,Skilled Manual,1,1,43,1
M,M,127990,2,1,Bachelors,Professional,1,2,52,1
S,F,111517,0,0,Graduate Degree,Management,1,3,46,1
M,F,81758,0,0,High School,Clerical,0,2,25,1
S,F,104546,1,0,Partial College,Management,1,2,71,1
S,F,31693,0,0,Partial High School,Manual,1,0,55,1
S,M,53344,0,0,Partial College,Skilled Manual,0,1,47,1
M,M,60737,2,0,High School,Skilled Manual,1,1,58,1
M,M,79996,2,1,Partial College,Clerical,1,1,50,1
S,F,54031,0,0,High School,Skilled Manual,1,1,50,1
S,M,57587,0,0,Partial College,Skilled Manual,0,1,25,1
M,M,52451,2,0,Bachelors,Skilled Manual,1,1,57,1
M,F,55097,2,1,Partial College,Skilled Manual,1,1,48,1
S,F,56597,0,0,Partial High School,Skilled Manual,0,1,31,1
S,M,54508,0,0,Partial College,Skilled Manual,0,1,33,1
S,F,53470,0,0,Partial High School,Skilled Manual,0,1,27,1
M,F,83615,0,0,Bachelors,Clerical,0,3,26,1
M,M,137654,2,1,Bachelors,Professional,1,1,41,1
S,M,60763,0,0,Graduate Degree,Skilled Manual,0,1,39,1
M,F,128001,2,1,Graduate Degree,Professional,1,2,44,1
M,F,102608,2,1,Bachelors,Management,1,3,64,1
M,F,59054,2,2,Bachelors,Skilled Manual,1,1,41,1
S,M,83545,0,0,High School,Clerical,1,1,53,1
M,M,34755,0,0,High School,Manual,0,0,28,1
S,F,55376,0,0,High School,Skilled Manual,0,1,26,1
M,M,85853,0,0,High School,Clerical,0,1,27,1
M,M,34792,2,1,Partial High School,Manual,1,1,51,1
M,F,133199,2,1,Graduate Degree,Professional,1,1,68,1
M,F,138021,2,2,Bachelors,Professional,1,1,66,1
S,M,36666,0,0,High School,Manual,0,1,28,1
M,M,82700,0,0,Partial College,Clerical,0,2,29,1
M,F,61330,2,0,High School,Skilled Manual,1,1,47,1
M,M,104109,2,0,Partial College,Management,1,2,48,1
M,F,134106,0,0,Graduate Degree,Professional,1,3,31,1
S,M,33252,0,0,Partial High School,Manual,0,1,30,1
S,M,56794,0,0,High School,Skilled Manual,1,1,53,1
M,M,52357,2,0,Partial College,Skilled Manual,1,1,47,1
M,F,52494,0,0,Partial High School,Skilled Manual,0,1,25,1
M,M,107682,3,0,Graduate Degree,Management,1,3,69,1
M,F,26440,0,0,Bachelors,Manual,0,0,25,1
S,M,35586,0,0,Bachelors,Manual,0,0,37,1
M,M,102827,2,0,Bachelors,Management,1,2,45,1
M,M,60347,2,1,Partial College,Skilled Manual,1,2,57,1
S,M,79259,0,0,High School,Clerical,0,2,30,1
M,F,106502,1,1,Bachelors,Management,1,0,35,1
M,M,81614,2,1,Partial College,Clerical,1,3,48,1
M,M,136226,1,0,Graduate Degree,Professional,1,1,39,1
S,F,53084,0,0,High School,Skilled Manual,1,2,47,1
M,M,54540,2,1,Bachelors,Skilled Manual,0,2,37,1
S,F,135140,0,0,Graduate Degree,Professional,1,3,46,1
S,F,77618,0,0,Bachelors,Clerical,0,3,42,1
M,M,52217,2,2,Graduate Degree,Skilled Manual,1,0,39,1
S,M,85600,0,0,Bachelors,Clerical,0,3,38,1
M,M,27210,2,1,Bachelors,Manual,0,0,40,1
M,M,85207,2,1,High School,Clerical,1,1,38,1
M,F,85266,2,1,Bachelors,Clerical,1,2,46,1
S,M,58257,0,0,Partial College,Skilled Manual,0,1,41,1
M,F,103232,2,1,Bachelors,Management,1,1,52,1
M,F,135558,2,1,Bachelors,Professional,1,2,63,1
S,M,54975,0,0,Partial High School,Skilled Manual,0,1,33,1
S,M,32062,0,0,High School,Manual,0,1,28,1
S,M,106435,0,0,Partial College,Management,0,1,27,1
S,M,53425,0,0,High School,Skilled Manual,0,0,44,1
M,F,78073,1,1,Graduate Degree,Clerical,1,0,36,1
S,M,129788,0,0,Graduate Degree,Professional,1,2,36,1
M,F,55145,2,2,Bachelors,Skilled Manual,0,1,36,1
S,F,103138,0,0,Partial College,Management,0,2,25,1
S,M,80215,0,0,Bachelors,Clerical,0,2,28,1
M,M,52054,0,0,High School,Skilled Manual,0,1,26,1
M,F,51504,3,0,Graduate Degree,Skilled Manual,1,1,64,1
M,M,105955,0,0,Graduate Degree,Management,1,0,32,1
S,M,53655,0,0,Partial High School,Skilled Manual,0,2,25,1
M,M,87014,2,0,Partial College,Clerical,1,0,56,1
M,M,59410,2,0,High School,Skilled Manual,1,2,48,1
M,F,84171,2,2,Partial College,Clerical,1,2,43,1
S,F,29012,0,0,Partial High School,Manual,0,1,34,1
S,M,52112,0,0,Partial College,Skilled Manual,0,1,46,1
M,M,55293,2,1,High School,Skilled Manual,1,2,48,1
M,M,128385,0,0,Bachelors,Professional,1,2,37,1
M,M,36307,1,0,High School,Manual,0,1,36,1
M,F,77619,2,1,Partial College,Clerical,1,1,43,1
S,F,81900,0,0,Bachelors,Clerical,0,0,26,1
M,F,81997,2,2,Bachelors,Clerical,1,1,47,1
M,F,59011,2,2,Graduate Degree,Skilled Manual,1,1,37,1
S,M,136722,1,1,Graduate Degree,Professional,1,2,71,1
S,M,53392,0,0,High School,Skilled Manual,0,0,37,1
M,F,36127,2,0,Graduate Degree,Manual,1,0,70,1
M,M,85655,1,1,Bachelors,Clerical,1,1,32,1
M,M,86942,0,0,Graduate Degree,Clerical,0,2,32,1
M,M,83304,2,0,Bachelors,Clerical,1,1,33,1
S,M,109340,0,0,Bachelors,Management,0,2,37,1
S,F,28296,0,0,High School,Manual,0,1,29,1
S,F,58197,0,0,High School,Skilled Manual,0,1,29,1
S,F,81372,0,0,Bachelors,Clerical,0,1,37,1
M,F,33019,2,1,Partial College,Manual,0,1,39,1
M,F,104363,2,0,Bachelors,Management,1,0,45,1
S,M,82063,0,0,High School,Clerical,0,2,28,1
S,M,62363,0,0,Partial College,Skilled Manual,0,2,31,1
S,M,136418,0,0,Bachelors,Professional,0,3,28,1
S,M,78877,0,0,Graduate Degree,Clerical,0,1,32,1
M,M,60852,1,0,Partial College,Skilled Manual,1,2,53,1
S,F,80445,0,0,Partial College,Clerical,0,2,27,1
S,M,54704,0,0,Bachelors,Skilled Manual,0,0,43,1
S,F,138358,0,0,Graduate Degree,Professional,1,1,32,1
S,F,106635,1,1,Partial College,Management,1,1,61,1
M,M,83882,2,0,Graduate Degree,Clerical,1,3,46,1
M,M,62561,2,1,Bachelors,Skilled Manual,1,1,47,1
S,M,82402,0,0,Partial College,Clerical,0,0,30,1
M,F,86423,0,0,Partial College,Clerical,0,3,25,1
M,F,34922,1,1,High School,Manual,1,1,44,1
S,M,84046,0,0,Partial College,Clerical,1,2,54,1
S,M,77035,0,0,Bachelors,Clerical,0,1,41,1
S,M,51584,0,0,High School,Skilled Manual,0,1,30,1
M,M,77928,0,0,High School,Clerical,0,2,27,1
S,F,27543,0,0,Partial High School,Manual,0,0,28,1
S,M,132407,0,0,Bachelors,Professional,1,2,46,1
M,F,33724,2,1,High School,Manual,1,0,55,1
M,M,108466,0,0,Bachelors,Management,1,3,32,1
M,F,102345,2,0,Bachelors,Management,1,2,55,1
M,F,54885,1,1,High School,Skilled Manual,1,1,49,1
M,F,82478,1,0,Partial College,Clerical,1,3,47,1
M,M,33289,0,0,Partial College,Manual,0,1,30,1
M,M,77931,1,1,Bachelors,Clerical,1,3,46,1
M,F,107427,2,1,Partial College,Management,1,1,44,1
S,M,136562,0,0,Graduate Degree,Professional,1,3,38,1
M,M,51473,0,0,High School,Skilled Manual,0,1,29,1
S,M,86647,0,0,Partial College,Clerical,0,3,40,1
M,M,55204,2,1,High School,Skilled Manual,1,2,49,1
M,F,104531,1,1,Partial College,Management,1,3,44,1
M,F,86427,3,0,Graduate Degree,Clerical,1,2,67,1
S,F,27642,0,0,Graduate Degree,Manual,0,1,46,1
S,F,61744,0,0,High School,Skilled Manual,0,0,33,1
M,F,53308,1,0,Partial College,Skilled Manual,1,2,40,1
M,F,56129,0,0,Partial College,Skilled Manual,0,1,28,1
M,M,61590,0,0,Bachelors,Skilled Manual,0,1,30,1
M,M,106650,0,0,Bachelors,Management,1,2,37,1
M,M,79043,2,1,Partial College,Clerical,1,1,56,1
M,F,134767,0,0,Graduate Degree,Professional,1,2,34,1
S,M,51558,0,0,Partial College,Skilled Manual,0,1,31,1
M,M,35459,0,0,High School,Manual,0,0,30,1
M,M,57310,0,0,Partial College,Skilled Manual,0,2,28,1
M,F,34215,2,1,Partial College,Manual,1,0,56,1
S,F,56390,0,0,Partial College,Skilled Manual,0,2,27,1
S,F,78931,0,0,Partial College,Clerical,0,1,29,1
M,F,54845,2,1,Partial College,Skilled Manual,1,1,52,1
S,M,78507,0,0,Partial College,Clerical,1,1,48,1
S,F,56636,0,0,Partial College,Skilled Manual,0,1,45,1
M,F,30624,2,2,High School,Manual,1,1,49,1
M,F,27109,1,1,Partial College,Manual,0,0,33,1
M,M,60686,2,1,Bachelors,Skilled Manual,1,1,65,1
M,F,60438,2,0,Partial College,Skilled Manual,1,1,40,1
S,M,54884,0,0,High School,Skilled Manual,1,1,57,1
M,F,60776,2,0,Partial College,Skilled Manual,1,0,49,1
S,F,53725,0,0,Graduate Degree,Skilled Manual,0,1,35,1
S,F,34042,0,0,Partial College,Manual,0,1,27,1
M,F,30241,2,1,Partial High School,Manual,1,1,52,1
M,M,57769,1,0,Bachelors,Skilled Manual,1,1,44,1
M,F,54066,2,1,Partial High School,Skilled Manual,1,0,55,1
M,M,56272,2,0,Partial College,Skilled Manual,1,1,38,1
M,F,54483,2,1,Bachelors,Skilled Manual,1,1,40,1
M,F,35304,2,1,Bachelors,Manual,1,1,59,1
M,M,28156,2,1,Bachelors,Manual,0,0,33,1
S,M,54636,0,0,High School,Skilled Manual,0,1,44,1
M,F,55451,2,0,Partial College,Skilled Manual,0,1,35,1
M,M,137530,0,0,Graduate Degree,Professional,1,3,35,1
M,M,82445,2,0,Bachelors,Clerical,1,3,60,1
